language, completed, kyu
C, 2, 7
C++, 4, 5
Go, 1, 8 
JavaScript, 1, 8 
Python, 2, 6
SQL, 1, 8
Ruby, 1, 7



kata, language, date, kyu
1, JavaScript, Sep 06 2023, 8
2, C, Sep 06 2023, 8
3, Go, Sep 06 2023, 8
4, Python, Sep 07 2023, 8
5, SQL, Sep 08 2023, 8
6, C, Sep 17 2023, 7
7, C++, Mar 04 2024, 6
8, C++, Mar 04 2024, 6
9, C++, Mar 05 2024, 6
10, C++, Mar 05 2024, 5
11, Python, Oct 08 2024, 6
